order_id,internal_amount,transaction_date
order_1000,3281.74,31-08-26
order_1001,3000.63,31-08-26
order_1002,4832.84,31-08-26
order_1003,1757.11,31-08-26
order_1004,3114.27,31-08-26
order_1005,3544.57,31-08-26
order_1006,4937.75,31-08-26
order_1007,638.62,31-08-26
order_1008,4735.29,31-08-26
order_1009,3916.51,31-08-26
order_1010,4536.76,31-08-26
order_1011,4992.45,31-08-26
order_1012,2181.56,31-08-26
order_1013,3731.45,31-08-26
order_1014,1189.77,31-08-26
order_1015,587.35,31-08-26
order_1016,550.78,31-08-26
order_1017,2134.44,31-08-26
order_1018,2287.55,31-08-26
order_1019,3910.53,31-08-26
order_1020,2069.61,31-08-26
order_1021,2569.5,31-08-26
order_1022,1285.76,31-08-26
order_1023,3003.22,31-08-26
order_1024,2943.19,31-08-26
order_1025,2763.84,31-08-26
order_1026,1463.28,31-08-26
order_1027,4026.72,31-08-26
order_1028,847.44,31-08-26
order_1029,982.69,31-08-26
order_1030,4752.51,31-08-26
order_1031,2927.44,31-08-26
order_1032,2641.95,31-08-26
order_1033,4743.75,31-08-26
order_1034,503.98,31-08-26
order_1035,2020.05,31-08-26
order_1036,3672.56,31-08-26
order_1037,965.57,31-08-26
order_1038,740.95,31-08-26
order_1039,2828.41,31-08-26
order_1040,792.8,31-08-26
order_1041,3396.16,31-08-26
order_1042,3304.13,31-08-26
order_1043,1330.0,31-08-26
order_1044,757.4,31-08-26
order_1045,4626.84,31-08-26
order_1046,4794.55,31-08-26
order_1047,3391.23,31-08-26
order_1048,595.78,31-08-26
order_1049,4426.64,31-08-26
order_1050,4093.81,31-08-26
order_1051,4896.69,31-08-26
order_1052,1563.05,31-08-26
order_1053,4028.29,31-08-26
order_1054,4107.9,31-08-26
order_1055,4533.39,31-08-26
order_1056,3904.67,31-08-26
order_1057,1464.25,31-08-26
order_1058,4107.3,31-08-26
order_1059,4981.12,31-08-26
order_1060,3806.58,31-08-26
order_1061,902.0,31-08-26
order_1062,806.49,31-08-26
order_1063,3862.88,31-08-26
order_1064,3162.47,31-08-26
order_1065,4694.78,31-08-26
order_1066,4312.04,31-08-26
order_1067,2755.77,31-08-26
order_1068,562.97,31-08-26
order_1069,1936.09,31-08-26
order_1070,4330.82,31-08-26
order_1071,2383.33,31-08-26
order_1072,1084.32,31-08-26
order_1073,4803.99,31-08-26
order_1074,2467.56,31-08-26
order_1075,3051.3,31-08-26
order_1076,2660.39,31-08-26
order_1077,4562.28,31-08-26
order_1078,1136.15,31-08-26
order_1079,1424.39,31-08-26
order_1080,2102.72,31-08-26
order_1081,3161.47,31-08-26
order_1082,3714.99,31-08-26
order_1083,2864.11,31-08-26
order_1084,3475.61,31-08-26
order_1085,1638.16,31-08-26
order_1086,2878.4,31-08-26
order_1087,774.22,31-08-26
order_1088,3739.76,31-08-26
order_1089,3255.53,31-08-26
order_1090,3274.78,31-08-26
order_1091,1854.67,31-08-26
order_1092,3146.81,31-08-26
order_1093,4356.58,31-08-26
order_1094,4191.6,31-08-26
order_1095,3025.11,31-08-26
order_1096,977.6,31-08-26
order_1097,3191.31,31-08-26
order_1098,3463.59,31-08-26
order_1099,2724.71,31-08-26
