utr,bank_credit,transaction_date
SBI29082675SEWWASM2,2579.43,29-08-26
SBI2908264Z8T1CJGWC,1107.78,29-08-26
HDFC290826LTNL9O8R5A,2689.62,29-08-26
AXIS290826U01HISX3H1,1603.74,29-08-26
ICIC290826POJZX0XABB,4806.79,29-08-26
SBI290826BN0PBENCA7,4575.66,29-08-26
AXIS290826GXFJLET4XS,3444.09,29-08-26
HDFC29082680OB0M2L2X,1374.87,29-08-26
SBI290826BRKE4OZM12,3161.1,29-08-26
HDFC2908263QHYFNS0ZY,772.61,29-08-26
ICIC290826GAA0BK28W7,4303.72,29-08-26
SBI29082650P95E2LQR,2000.08,29-08-26
ICIC2908267EK94XQD4K,1723.12,29-08-26
HDFC290826FK0WXAYKL9,1054.5,29-08-26
ICIC2908269XM5JEVFRZ,3865.7,29-08-26
SBI290826QF07YMTNHS,2260.61,29-08-26
HDFC290826ZA4FCF8O4I,3321.29,29-08-26
SBI2908268ZRZMW4URL,3346.69,29-08-26
SBI290826NFKZP5L7KY,691.16,29-08-26
ICIC29082612WDMLWGSM,2835.83,29-08-26
SBI290826V8KM2SM9UK,1767.03,29-08-26
HDFC290826V1G9BE1D0S,1606.54,29-08-26
AXIS290826DGE1ZB1OSU,2374.09,29-08-26
HDFC290826SQVNS37KZG,2390.53,29-08-26
,907.49,29-08-26
HDFC2908267ZGQXB895R,4799.52,29-08-26
AXIS2908261H2K417QFA,1649.55,29-08-26
SBI290826CMTI5IO4Y5,4591.19,29-08-26
ICIC29082641H4G2IS2U,1836.47,29-08-26
AXIS290826O8WDRANKKM,1795.13,29-08-26
HDFC290826PZ3920ZHF1,2018.95,29-08-26
,2410.04,29-08-26
HDFC2908264MFO4GZKF7,1890.09,29-08-26
SBI2908265LCX6DI3CV,2700.36,29-08-26
HDFC29082699DHQIAXCQ,4349.07,29-08-26
HDFC290826VMLSBT2X3G,994.42,29-08-26
AXIS290826ZE0NACDHA0,3263.61,29-08-26
HDFC290826XSUWTXM864,4860.98,29-08-26
HDFC290826FE8S13TJJU,1100.64,29-08-26
AXIS290826V6TBLVGS49,608.92,29-08-26
HDFC290826D5RBQQGE75,2042.25,29-08-26
AXIS2908260ADSOKTE90,490.81,29-08-26
SBI29082672SIVA0KF6,3547.65,29-08-26
SBI290826GM8YXDAKD7,1958.12,29-08-26
SBI2908268I0WIAHQFX,2656.76,29-08-26
ICIC290826ODLIO1VHF9,3155.23,29-08-26
SBI290826AJ3JW8KSZH,2490.12,29-08-26
ICIC290826399J36FCT7,1884.25,29-08-26
ICIC290826EROT6XQIZ9,490.94,29-08-26
AXIS290826FWJY2UUTUG,1876.55,29-08-26
HDFC290826FVQ10D8V8Q,2738.28,29-08-26
,1385.09,29-08-26
ICIC290826837RINKTZS,3771.14,29-08-26
HDFC290826BO76MQB0ER,4203.35,29-08-26
AXIS29082631G5PIGB89,4831.37,29-08-26
SBI2908260OCMMDVYR8,1578.89,29-08-26
AXIS290826AZ4AR8L7WX,1573.31,29-08-26
SBI290826WO4NZJ5OK3,1502.2,29-08-26
ICIC290826XZEPUJDGGC,853.27,29-08-26
SBI290826W1BFJUHXAD,3223.48,29-08-26
AXIS290826436VO8H5GH,999.36,29-08-26
AXIS290826P0VU339NK4,2173.22,29-08-26
AXIS290826YDR1G5FRAQ,4839.09,29-08-26
ICIC2908264W5DSIH4YZ,3913.72,29-08-26
SBI290826GQJKFEUVRT,540.68,29-08-26
HDFC2908265GWOK79L3E,2518.11,29-08-26
SBI290826IC70GDSRCM,2209.58,29-08-26
SBI2908264IQ24LIAPR,2979.33,29-08-26
AXIS29082600VWQ5CW6A,1644.66,29-08-26
SBI290826FFFDD3BW4G,1662.77,29-08-26
SBI2908267SL0PCZCFA,3578.13,29-08-26
AXIS290826UPWM65PKZX,3596.79,29-08-26
ICIC290826RB27MXBAMB,4101.66,29-08-26
HDFC290826UN4Z1UUUNU,3625.11,29-08-26
SBI29082660FP0IJHOZ,4196.4,29-08-26
ICIC29082608K6DM0DOS,4412.76,29-08-26
AXIS290826NEJ7OOZJEB,785.98,29-08-26
AXIS290826WNSWN13IKR,1427.83,29-08-26
HDFC2908265PCSC68IRI,2637.75,29-08-26
ICIC29082655KRSBS6M6,4317.58,29-08-26
HDFC29082661PH3HWWVR,3226.76,29-08-26
ICIC290826ISLLLP1KXL,4831.66,29-08-26
AXIS290826QT8TKMI3QI,1232.77,29-08-26
SBI290826NQTRLQ7GCQ,890.69,29-08-26
AXIS290826G95705G4U7,4290.71,29-08-26
AXIS2908261D2CL3AHZZ,2038.86,29-08-26
HDFC2908262QVRZNW97L,4515.23,29-08-26
ICIC290826MHV5GNNVFF,3961.94,29-08-26
SBI2908261M65CPMNE9,2797.09,29-08-26
AXIS290826QCI2QQGTSY,2712.57,29-08-26
AXIS290826I1IC2H644G,3901.22,29-08-26
AXIS290826B3L6CFN6TG,1337.99,29-08-26
SBI290826Z730HW9I6Z,3741.17,29-08-26
SBI290826L5ZKYJMG84,862.96,29-08-26
HDFC2908261ERRDZNVRT,3583.58,29-08-26
